REGIÃO ;PAÍS;VALOR DO CONSUMO EM BILHÕES m3;ANO
Comunidade dos Estados Independentes;Belarus;19,22618486;2011
Comunidade dos Estados Independentes;Cazaquistão;12,16170339;2011
Comunidade dos Estados Independentes;Rússia;435,6361394;2011
Comunidade dos Estados Independentes;Turcomenistão;20,73525548;2011
Comunidade dos Estados Independentes;Uzbequistão;47,35637242;2011
Comunidade dos Estados Independentes;Outros;5,471895203;2011
Oriente Médio;Arábia Saudita;87,647;2011
Oriente Médio;Catar;28,67450106;2011
Oriente Médio;Coveite;15,85792548;2011
Oriente Médio;Emirados Árabes Unidos;61,63614396;2011
Oriente Médio;Irã;153,1926108;2011
Oriente Médio;Iraque;6,30192;2011
Oriente Médio;Israel;4,7492;2011
Oriente Médio;Omã;18,11364867;2011
Oriente Médio;Outros;21,91699635;2011
África;África do Sul;4,280949296;2011
África;África Central;4,0816135;2011
África;África Ocidental;12,30346975;2011
África;África Oriental;0,955031734;2011
África;Argélia;26,7969625;2011
África;Egito;47,75925;2011
África;Marrocos;0,882871328;2011
África;Outros Norte da África;10,14817426;2011
Ásia-Pacífico;Austrália;35,28308142;2011
Ásia-Pacífico;Bangladesh;19,5821495;2011
Ásia-Pacífico;China;135,1628721;2011
Ásia-Pacífico;Cingapura;8,28712437;2011
Ásia-Pacífico;Coreia do Sul;48,4454628;2011
Ásia-Pacífico;Filipinas;3,805851468;2011
Ásia-Pacífico;Hong Kong;2,8625382;2011
Ásia-Pacífico;Índia;60,28587708;2011
Ásia-Pacífico;Indonésia;42,73430073;2011
Ásia-Pacífico;Japão;112,025245;2011
Ásia-Pacífico;Malásia;38,317361;2011
Ásia-Pacífico;Nova Zelândia;4,021550307;2011
Ásia-Pacífico;Paquistão;35,33964684;2011
Ásia-Pacífico;Tailândia;44,3180607;2011
Ásia-Pacífico;Taiwan;17,03993192;2011
Ásia-Pacífico;Vietnã;8,1832;2011
Ásia-Pacífico;Outros;7,507100763;2011
América do Norte;Canadá;97,209925;2012
América do Norte;Estados Unidos;688,1227781;2012
América do Norte;México;73,65377033;2012
Américas Central e do Sul;Argentina;45,66420934;2012
Américas Central e do Sul;Brasil;32,57653327;2012
Américas Central e do Sul;Chile;5,3008377;2012
Américas Central e do Sul;Colômbia;9,465897678;2012
Américas Central e do Sul;Equador;0,748968616;2012
Américas Central e do Sul;Peru;6,861823978;2012
Américas Central e do Sul;Trinidad e Tobago;20,23598556;2012
Américas Central e do Sul;Venezuela;34,61283083;2012
Américas Central e do Sul;Outros;6,321801869;2012
Europa;Alemanha;81,11005556;2012
Europa;Áustria;8,624141591;2012
Europa;Bélgica;16,74;2012
Europa;Bulgária;2,851225;2012
Europa;Croácia;2,806605556;2012
Europa;Dinamarca;4,060289214;2012
Europa;Eslováquia;5,076875;2012
Europa;Eslovênia;0,825338593;2012
Europa;Estônia;0,613777778;2012
Europa;Espanha;33,22561414;2012
Europa;Finlândia;3,1945;2012
Europa;França;44,44429503;2012
Europa;Grécia ;4,226817808;2012
Europa;Holanda;39,28333333;2012
Europa;Hungria;9,739972222;2012
Europa;Irlanda;4,690337695;2012
Europa;Itália;71,35658301;2012
Europa;Letônia;1,427187807;2012
Europa;Lituânia;3,0874161;2012
Europa;Luxemburgo;1,222372175;2012
Europa;Macedônia;0,133084416;2012
Europa;Noruega;4,001820342;2012
Europa;Polônia;17,41936111;2012
Europa;Portugal;4,555491532;2012
Europa;República Tcheca;7,97365;2012
Europa;Reino Unido;76,89873895;2012
Europa;Romênia;12,5341;2012
Europa;Suécia;1,0651;2012
Europa;Suíça;3,403333333;2012
Europa;Turquia;43,319215;2012
Europa;Ucrânia;51,83871681;2012
Europa;Outros;3,946401086;2012
Comunidade dos Estados Independentes;Azerbaijão;9,36144555;2012
Comunidade dos Estados Independentes;Belarus;19,41009833;2012
Comunidade dos Estados Independentes;Cazaquistão;12,95282831;2012
Comunidade dos Estados Independentes;Rússia;428,6259027;2012
Comunidade dos Estados Independentes;Turcomenistão;22,93844206;2012
Comunidade dos Estados Independentes;Uzbequistão;46,2385;2012
Comunidade dos Estados Independentes;Outros;5,701840113;2012
Oriente Médio;Arábia Saudita;94,3635;2012
Oriente Médio;Catar;33,59904548;2012
Oriente Médio;Coveite;17,53184121;2012
Oriente Médio;Emirados Árabes Unidos;63,93075;2012
Oriente Médio;Irã;152,5455339;2012
Oriente Médio;Iraque;6,341345;2012
Oriente Médio;Israel;2,441625;2012
Oriente Médio;Omã;19,68708904;2012
Oriente Médio;Outros;20,36482742;2012
África;África do Sul;4,35732889;2012
África;África Central;4,073047;2012
África;África Ocidental;12,9782046;2012
África;África Oriental;1,099139201;2012
África;Argélia;29,874075;2012
África;Egito;50,637125;2012
África;Marrocos;1,180759733;2012
África;Outros Norte da África;10,90774117;2012
Ásia-Pacífico;Austrália;35,39067949;2012
Ásia-Pacífico;Bangladesh;21,33627925;2012
Ásia-Pacífico;China;150,8775822;2012
Ásia-Pacífico;Cingapura;8,93;2012
Ásia-Pacífico;Coreia do Sul;52,5286395;2012
Ásia-Pacífico;Filipinas;3,648458274;2012
Ásia-Pacífico;Hong Kong;2,635923525;2012
Ásia-Pacífico;Índia;55,69909183;2012
Ásia-Pacífico;Indonésia;42,97120863;2012
Ásia-Pacífico;Japão;123,2150808;2012
Ásia-Pacífico;Malásia;42,015701;2012
Ásia-Pacífico;Nova Zelândia;4,464666605;2012
Ásia-Pacífico;Paquistão;36,59723057;2012
Ásia-Pacífico;Tailândia;48,6335029;2012
Ásia-Pacífico;Taiwan;17,88522842;2012
Ásia-Pacífico;Vietnã;9,027575;2012
Ásia-Pacífico;Outros;8,530542354;2012
América do Norte;Canadá;104,263825;2013
América do Norte;Estados Unidos;707,0228377;2013
América do Norte;México;77,79506636;2013
Américas Central e do Sul;Argentina;46,02768897;2013
Américas Central e do Sul;Brasil;38,38277277;2013
Américas Central e do Sul;Chile;5,312584;2013
Américas Central e do Sul;Colômbia;10,47725547;2013
Américas Central e do Sul;Equador;0,851181747;2013
Américas Central e do Sul;Peru;6,702667685;2013
Américas Central e do Sul;Trinidad e Tobago;20,3556306;2013
Américas Central e do Sul;Venezuela;32,3058005;2013
Américas Central e do Sul;Outros;6,89509019;2013
Europa;Alemanha;84,97433333;2013
Europa;Áustria;8,200461133;2013
Europa;Bélgica;16,533;2013
Europa;Bulgária;2,7544;2013
Europa;Croácia;2,653794444;2013
Europa;Dinamarca;3,829782496;2013
Europa;Eslováquia;5,301;2013
Europa;Eslovênia;0,810667068;2013
Europa;Estônia;0,632777778;2013
Europa;Espanha;30,32809603;2013
Europa;Finlândia;2,970666667;2013
Europa;França;45,1431537;2013
Europa;Grécia ;3,730692595;2013
Europa;Holanda;39,11111111;2013
Europa;Hungria;9,080138889;2013
Europa;Irlanda;4,467215124;2013
Europa;Itália;66,74042883;2013
Europa;Letônia;1,4062125;2013
Europa;Lituânia;2,5171972;2013
Europa;Luxemburgo;1,03495705;2013
Europa;Macedônia;0,150659672;2013
Europa;Noruega;3,974099107;2013
Europa;Polônia;17,41041667;2013
Europa;Portugal;4,318342667;2013
Europa;República Tcheca;8,078675;2013
Europa;Reino Unido;76,32575451;2013
Europa;Romênia;11,4427;2013
Europa;Suécia;1,02365;2013
Europa;Suíça;3,584166667;2013
Europa;Turquia;43,966485;2013
Europa;Ucrânia;47,69911504;2013
Europa;Outros;4,179399852;2013
Comunidade dos Estados Independentes;Azerbaijão;9,4029894;2013
Comunidade dos Estados Independentes;Belarus;19,27027729;2013
Comunidade dos Estados Independentes;Cazaquistão;13,56226205;2013
Comunidade dos Estados Independentes;Rússia;424,8674299;2013
Comunidade dos Estados Independentes;Turcomenistão;19,33121154;2013
Comunidade dos Estados Independentes;Uzbequistão;46,151875;2013
Comunidade dos Estados Independentes;Outros;4,759891704;2013
Oriente Médio;Arábia Saudita;95,0285;2013
Oriente Médio;Catar;35,54508169;2013
Oriente Médio;Coveite;17,77039024;2013
Oriente Médio;Emirados Árabes Unidos;64,74962832;2013
Oriente Médio;Irã;153,834493;2013
Oriente Médio;Iraque;7,072655;2013
Oriente Médio;Israel;6,635475;2013
Oriente Médio;Omã;21,67549203;2013
Oriente Médio;Outros;20,98314199;2013
África;África do Sul;4,0543686;2013
África;África Central;3,660390405;2013
África;África Ocidental;12,7041164;2013
África;África Oriental;1,142406267;2013
África;Argélia;32,1215125;2013
África;Egito;49,501375;2013
África;Marrocos;1,144918796;2013
África;Outros Norte da África;12,30083139;2013
Ásia-Pacífico;Austrália;37,17348249;2013
Ásia-Pacífico;Bangladesh;21,95278663;2013
Ásia-Pacífico;China;171,878542;2013
Ásia-Pacífico;Cingapura;10,01524509;2013
Ásia-Pacífico;Coreia do Sul;54,9758241;2013
Ásia-Pacífico;Filipinas;3,360541251;2013
Ásia-Pacífico;Hong Kong;2,4833277;2013
Ásia-Pacífico;Índia;49,01930183;2013
Ásia-Pacífico;Indonésia;44,50548391;2013
Ásia-Pacífico;Japão;123,5368847;2013
Ásia-Pacífico;Malásia;44,567323;2013
Ásia-Pacífico;Nova Zelândia;4,682672551;2013
Ásia-Pacífico;Paquistão;35,58572865;2013
Ásia-Pacífico;Tailândia;48,86432567;2013
Ásia-Pacífico;Taiwan;17,93790662;2013
Ásia-Pacífico;Vietnã;9,409715;2013
Ásia-Pacífico;Outros;8,625445072;2013
América do Norte;Canadá;109,59275;2014
América do Norte;Estados Unidos;722,2604554;2014
América do Norte;México;78,84844744;2014
Américas Central e do Sul;Argentina;46,15497906;2014
Américas Central e do Sul;Brasil;40,65547425;2014
Américas Central e do Sul;Chile;4,3989312;2014
Américas Central e do Sul;Colômbia;11,38406185;2014
Américas Central e do Sul;Equador;0,872552048;2014
Américas Central e do Sul;Peru;7,431637164;2014
Américas Central e do Sul;Trinidad e Tobago;20,51008882;2014
Américas Central e do Sul;Venezuela;34,02659938;2014
Américas Central e do Sul;Outros;7,178329192;2014
Europa;Alemanha;73,89502778;2014
Europa;Áustria;7,510975575;2014
Europa;Bélgica;14,463;2014
Europa;Bulgária;2,73615;2014
Europa;Croácia;2,348571111;2014
Europa;Dinamarca;3,289438226;2014
Europa;Eslováquia;4,387225;2014
Europa;Eslovênia;0,728081527;2014
Europa;Estônia;0,494694444;2014
Europa;Espanha;27,52389992;2014
Europa;Finlândia;2,655638889;2014
Europa;França;37,90835053;2014
Europa;Grécia ;2,844269041;2014
Europa;Holanda;34,47222222;2014
Europa;Hungria;8,119611111;2014
Europa;Irlanda;4,328269416;2014
Europa;Itália;58,97159341;2014
Europa;Letônia;1,2637625;2014
Europa;Lituânia;2,4017113;2014
Europa;Luxemburgo;0,98059045;2014
Europa;Macedônia;0,129250005;2014
Europa;Noruega;4,301442928;2014
Europa;Polônia;17,01361111;2014
Europa;Portugal;4,125960228;2014
Europa;República Tcheca;7,1898;2014
Europa;Reino Unido;70,05550747;2014
Europa;Romênia;10,873125;2014
Europa;Suécia;0,840375;2014
Europa;Suíça;3,104722222;2014
Europa;Turquia;46,6465275;2014
Europa;Ucrânia;40,31710914;2014
Europa;Outros;4,115717277;2014
Comunidade dos Estados Independentes;Azerbaijão;9,854446055;2014
Comunidade dos Estados Independentes;Belarus;19,12143953;2014
Comunidade dos Estados Independentes;Cazaquistão;14,97758623;2014
Comunidade dos Estados Independentes;Rússia;422,198243;2014
Comunidade dos Estados Independentes;Turcomenistão;19,96299607;2014
Comunidade dos Estados Independentes;Uzbequistão;48,5485;2014
Comunidade dos Estados Independentes;Outros;5,262086224;2014
Oriente Médio;Arábia Saudita;97,261;2014
Oriente Médio;Catar;38,53560704;2014
Oriente Médio;Coveite;17,87114318;2014
Oriente Médio;Emirados Árabes Unidos;63,43496793;2014
Oriente Médio;Irã;173,4009439;2014
Oriente Médio;Iraque;7,5308343;2014
Oriente Médio;Israel;7,248275;2014
Oriente Médio;Omã;21,25777886;2014
Oriente Médio;Outros;20,93516093;2014
África;África do Sul;4,298224547;2014
África;África Central;3,60791724;2014
África;África Ocidental;15,9907882;2014
África;África Oriental;1,255106924;2014
África;Argélia;36,091825;2014
África;Egito;46,2187495;2014
África;Marrocos;1,109615;2014
África;Outros Norte da África;11,32003391;2014
Ásia-Pacífico;Austrália;40,09991719;2014
Ásia-Pacífico;Bangladesh;23,02227158;2014
Ásia-Pacífico;China;188,3631356;2014
Ásia-Pacífico;Cingapura;10,38951881;2014
Ásia-Pacífico;Coreia do Sul;50,0039991;2014
Ásia-Pacífico;Filipinas;3,534256701;2014
Ásia-Pacífico;Hong Kong;2,3870397;2014
Ásia-Pacífico;Índia;48,50156676;2014
Ásia-Pacífico;Indonésia;44,04181195;2014
Ásia-Pacífico;Japão;124,7521187;2014
Ásia-Pacífico;Malásia;44,709209;2014
Ásia-Pacífico;Nova Zelândia;5,216566944;2014
Ásia-Pacífico;Paquistão;34,98668945;2014
Ásia-Pacífico;Tailândia;49,94473217;2014
Ásia-Pacífico;Taiwan;18,86816866;2014
Ásia-Pacífico;Vietnã;9,85265;2014
Ásia-Pacífico;Outros;10,10770741;2014
América do Norte;Canadá;109,75305;2015
América do Norte;Estados Unidos;743,5794943;2015
América do Norte;México;80,78291622;2015
Américas Central e do Sul;Argentina;46,65256827;2015
Américas Central e do Sul;Brasil;42,93654087;2015
Américas Central e do Sul;Chile;4,824285657;2015
Américas Central e do Sul;Colômbia;11,21172938;2015
Américas Central e do Sul;Equador;0,821033212;2015
Américas Central e do Sul;Peru;7,643131646;2015
Américas Central e do Sul;Trinidad e Tobago;19,60477033;2015
Américas Central e do Sul;Venezuela;37,03823582;2015
Américas Central e do Sul;Outros;7,109368661;2015
Europa;Alemanha;76,95361111;2015
Europa;Áustria;7,968095001;2015
Europa;Bélgica;15,8499;2015
Europa;Bulgária;3,00035;2015
Europa;Croácia;2,421231111;2015
Europa;Dinamarca;3,309252611;2015
Europa;Eslováquia;4,5118;2015
Europa;Eslovênia;0,772434021;2015
Europa;Estônia;0,439777778;2015
Europa;Espanha;28,53782542;2015
Europa;Finlândia;2,287861111;2015
Europa;França;40,75176458;2015
Europa;Grécia ;3,07138797;2015
Europa;Holanda;34,08055556;2015
Europa;Hungria;8,710666667;2015
Europa;Irlanda;4,376369;2015
Europa;Itália;64,3154178;2015
Europa;Letônia;1,27435;2015
Europa;Lituânia;2,403765;2015
Europa;Luxemburgo;0,894273925;2015
Europa;Macedônia;0,130195524;2015
Europa;Noruega;4,509636647;2015
Europa;Polônia;17,09880556;2015
Europa;Portugal;4,819863296;2015
Europa;República Tcheca;7,53945;2015
Europa;Reino Unido;72,04545754;2015
Europa;Romênia;10,370825;2015
Europa;Suécia;0,933575;2015
Europa;Suíça;3,317222222;2015
Europa;Turquia;45,9590425;2015
Europa;Ucrânia;31,98869223;2015
Europa;Outros;4,519545594;2015
Comunidade dos Estados Independentes;Azerbaijão;11,1465525;2015
Comunidade dos Estados Independentes;Belarus;17,89891052;2015
Comunidade dos Estados Independentes;Cazaquistão;15,3346237;2015
Comunidade dos Estados Independentes;Rússia;408,6748223;2015
Comunidade dos Estados Independentes;Turcomenistão;25,38630492;2015
Comunidade dos Estados Independentes;Uzbequistão;46,344375;2015
Comunidade dos Estados Independentes;Outros;5,182540225;2015
Oriente Médio;Arábia Saudita;99,2275;2015
Oriente Médio;Catar;42,4154324;2015
Oriente Médio;Coveite;20,32270697;2015
Oriente Médio;Emirados Árabes Unidos;71,54823076;2015
Oriente Médio;Irã;184,0194852;2015
Oriente Médio;Iraque;7,30109675;2015
Oriente Médio;Israel;8,052575;2015
Oriente Médio;Omã;22,97065503;2015
Oriente Médio;Outros;22,39598337;2015
África;África do Sul;4,318626836;2015
África;África Central;3,991702453;2015
África;África Ocidental;23,77173424;2015
África;África Oriental;1,607924893;2015
África;Argélia;37,9225;2015
África;Egito;46,01877088;2015
África;Marrocos;1,129837188;2015
África;Outros Norte da África;9,699219859;2015
Ásia-Pacífico;Austrália;42,10696996;2015
Ásia-Pacífico;Bangladesh;25,85406276;2015
Ásia-Pacífico;China;194,689528;2015
Ásia-Pacífico;Cingapura;11,57865095;2015
Ásia-Pacífico;Coreia do Sul;45,6497271;2015
Ásia-Pacífico;Filipinas;3,322501173;2015
Ásia-Pacífico;Hong Kong;3,045637125;2015
Ásia-Pacífico;Índia;47,80683751;2015
Ásia-Pacífico;Indonésia;45,75555262;2015
Ásia-Pacífico;Japão;118,7176461;2015
Ásia-Pacífico;Malásia;46,839825;2015
Ásia-Pacífico;Nova Zelândia;4,865753231;2015
Ásia-Pacífico;Paquistão;36,5341804;2015
Ásia-Pacífico;Tailândia;50,96095611;2015
Ásia-Pacífico;Taiwan;20,18035999;2015
Ásia-Pacífico;Vietnã;10,2869;2015
Ásia-Pacífico;Outros;12,01196769;2015
América do Norte;Canadá;106,18635;2016
América do Norte;Estados Unidos;749,0989399;2016
América do Norte;México;83,03003672;2016
Américas Central e do Sul;Argentina;48,21001119;2016
Américas Central e do Sul;Brasil;37,08788245;2016
Américas Central e do Sul;Chile;5,916300789;2016
Américas Central e do Sul;Colômbia;12,09656219;2016
Américas Central e do Sul;Equador;0,886309093;2016
Américas Central e do Sul;Peru;8,493305559;2016
Américas Central e do Sul;Trinidad e Tobago;16,94447112;2016
Américas Central e do Sul;Venezuela;37,23873395;2016
Américas Central e do Sul;Outros;7,310979214;2016
Europa;Alemanha;84,88475;2016
Europa;Áustria;8,342190282;2016
Europa;Bélgica;16,1892;2016
Europa;Bulgária;3,12505;2016
Europa;Croácia;2,524353333;2016
Europa;Dinamarca;3,365253265;2016
Europa;Eslováquia;4,530275;2016
Europa;Eslovênia;0,819060127;2016
Europa;Estônia;0,483361111;2016
Europa;Espanha;29,12120018;2016
Europa;Finlândia;2,00525;2016
Europa;França;44,52993958;2016
Europa;Grécia ;3,9978;2016
Europa;Holanda;35,15277778;2016
Europa;Hungria;9,336222222;2016
Europa;Irlanda;4,920653;2016
Europa;Itália;67,54583653;2016
Europa;Letônia;1,3195875;2016
Europa;Lituânia;2,141865;2016
Europa;Luxemburgo;0,824701825;2016
Europa;Macedônia;0,204733357;2016
Europa;Noruega;4,372412742;2016
Europa;Polônia;18,25761111;2016
Europa;Portugal;5,078813347;2016
Europa;República Tcheca;8,159975;2016
Europa;Reino Unido;80,67364057;2016
Europa;Romênia;10,49461086;2016
Europa;Suécia;0,9989;2016
Europa;Suíça;3,485;2016
Europa;Turquia;44,5046;2016
Europa;Ucrânia;31,42084562;2016
Europa;Outros;4,619757998;2016
Comunidade dos Estados Independentes;Azerbaijão;10,9306475;2016
Comunidade dos Estados Independentes;Belarus;17,78751622;2016
Comunidade dos Estados Independentes;Cazaquistão;15,80606646;2016
Comunidade dos Estados Independentes;Rússia;420,6463901;2016
Comunidade dos Estados Independentes;Turcomenistão;25,11500517;2016
Comunidade dos Estados Independentes;Uzbequistão;43,32693051;2016
Comunidade dos Estados Independentes;Outros;5,140881333;2016
Oriente Médio;Arábia Saudita;105,317;2016
Oriente Médio;Catar;40,20936114;2016
Oriente Médio;Coveite;21,1499134;2016
Oriente Médio;Emirados Árabes Unidos;72,72543017;2016
Oriente Médio;Irã;196,3190475;2016
Oriente Médio;Iraque;9,8955781;2016
Oriente Médio;Israel;9,24945;2016
Oriente Médio;Omã;22,84051727;2016
Oriente Médio;Outros;23,04189918;2016
África;África do Sul;4,548936597;2016
África;África Central;5,040862434;2016
África;África Ocidental;21,02494602;2016
África;África Oriental;2,03489456;2016
África;Argélia;38,59625;2016
África;Egito;49,3541125;2016
África;Marrocos;1,14819546;2016
África;Outros Norte da África;10,27456375;2016
Ásia-Pacífico;Austrália;41,72607232;2016
Ásia-Pacífico;Bangladesh;26,45094657;2016
Ásia-Pacífico;China;209,4410888;2016
Ásia-Pacífico;Cingapura;11,90210866;2016
Ásia-Pacífico;Coreia do Sul;47,6436906;2016
Ásia-Pacífico;Filipinas;3,809864249;2016
Ásia-Pacífico;Hong Kong;3,12656521;2016
Ásia-Pacífico;Índia;50,79098186;2016
Ásia-Pacífico;Indonésia;44,63076912;2016
Ásia-Pacífico;Japão;116,4174455;2016
Ásia-Pacífico;Malásia;44,992981;2016
Ásia-Pacífico;Nova Zelândia;4,797362933;2016
Ásia-Pacífico;Paquistão;38,65067224;2016
Ásia-Pacífico;Tailândia;50,56425511;2016
Ásia-Pacífico;Taiwan;20,96540481;2016
Ásia-Pacífico;Vietnã;10,23865;2016
Ásia-Pacífico;Outros;11,39737302;2016
América do Norte;Canadá;109,321825;2017
América do Norte;Estados Unidos;739,9919615;2017
América do Norte;México;86,03353134;2017
Américas Central e do Sul;Argentina;48,30002855;2017
Américas Central e do Sul;Brasil;37,63202835;2017
Américas Central e do Sul;Chile;5,614596942;2017
Américas Central e do Sul;Colômbia;12,36600294;2017
Américas Central e do Sul;Equador;0,823237015;2017
Américas Central e do Sul;Peru;7,491935899;2017
Américas Central e do Sul;Trinidad e Tobago;18,34932823;2017
Américas Central e do Sul;Venezuela;38,60538774;2017
Américas Central e do Sul;Outros;7,162153387;2017
Europa;Alemanha;87,73847222;2017
Europa;Áustria;9,069853848;2017
Europa;Bélgica;16,4115;2017
Europa;Bulgária;3,21365;2017
Europa;Croácia;2,899666944;2017
Europa;Dinamarca;3,232919764;2017
Europa;Eslováquia;4,810944667;2017
Europa;Eslovênia;0,862206026;2017
Europa;Estônia;0,459194444;2017
Europa;Espanha;31,71082553;2017
Europa;Finlândia;1,832944444;2017
Europa;França;44,76569898;2017
Europa;Grécia ;4,8213;2017
Europa;Holanda;36,16666667;2017
Europa;Hungria;9,934138889;2017
Europa;Irlanda;5,018880657;2017
Europa;Itália;71,57879708;2017
Europa;Letônia;1,1963875;2017
Europa;Lituânia;2,228886;2017
Europa;Luxemburgo;0,8061143;2017
Europa;Macedônia;0,26327994;2017
Europa;Noruega;4,58472798;2017
Europa;Polônia;19,18033333;2017
Europa;Portugal;6,339484628;2017
Europa;República Tcheca;8,374775;2017
Europa;Reino Unido;78,58748456;2017
Europa;Romênia;11,29026869;2017
Europa;Suécia;0,961625;2017
Europa;Suíça;3,499722222;2017
Europa;Turquia;51,5680775;2017
Europa;Ucrânia;30,19051131;2017
Europa;Outros;5,311118051;2017
Comunidade dos Estados Independentes;Azerbaijão;10,616605;2017
